farm;lat;lon;fw;Nf;Ns
306;51.218000;-3.1000000;5541.03;16623.1;12898.8
307;51.478000;-9.8400000;5540.25;16620.7;12667.0
308;49.418000;0.050000000;5537.78;16613.3;13102.1
309;52.128000;-7.2700000;5536.04;16608.1;12589.5
310;51.688000;3.4400000;5531.51;16594.5;12997.4
311;51.718000;3.5000000;5531.41;16594.2;12978.8
312;51.538000;-3.7900000;5529.67;16589.0;13004.1
313;51.338000;-3.2300000;5529.65;16589.0;13040.9
314;51.098000;2.0400000;5529.62;16588.9;12935.6
315;51.268000;2.6300000;5528.98;16587.0;13012.3
316;49.838000;0.19000000;5528.25;16584.8;12359.9
317;47.558000;-2.9500000;5526.97;16580.9;13166.9
318;51.348000;-3.6000000;5524.56;16573.7;13017.1
319;50.468000;1.5000000;5524.32;16573.0;12610.8
320;50.778000;-1.0700000;5524.14;16572.4;4983.48
321;51.018000;1.8000000;5521.72;16565.1;10214.1
322;50.018000;0.75000000;5520.09;16560.3;12551.8
323;51.138000;1.4800000;5519.66;16559.0;11027.2
324;51.538000;3.3900000;5517.04;16551.1;13001.9
325;51.908000;-7.8500000;5516.65;16549.9;12799.4
326;47.198000;-2.5800000;5515.70;16547.1;13061.8
327;51.338000;-3.7000000;5511.75;16535.2;12914.7
328;45.688000;-1.2800000;5511.10;16533.3;13109.8
329;51.828000;3.8200000;5507.37;16522.1;12983.2
330;49.698000;0.070000000;5507.10;16521.3;12828.9
331;51.178000;2.2600000;5506.87;16520.6;12902.0
332;51.918000;-7.6200000;5506.33;16519.0;10940.6
333;51.598000;3.5000000;5505.75;16517.2;12969.7
334;51.278000;-3.1200000;5504.79;16514.4;12989.6
335;52.128000;-7.0600000;5504.04;16512.1;12660.0
336;51.718000;3.6200000;5503.92;16511.7;12960.7
337;50.828000;-0.29000000;5500.36;16501.1;8661.35
338;51.508000;0.47000000;5497.31;16491.9;12630.3
339;51.498000;3.2200000;5497.04;16491.1;12951.4
340;51.868000;-7.7900000;5494.17;16482.5;11973.6
341;51.898000;-7.7300000;5493.97;16481.9;12176.1
342;52.188000;-6.6000000;5493.29;16479.9;8280.52
343;50.478000;1.4200000;5492.50;16477.5;9341.95
344;49.478000;0.13000000;5491.57;16474.7;12957.5
345;51.828000;-7.8700000;5489.78;16469.3;11513.1
346;51.648000;-4.6900000;5489.64;16468.9;12351.0
347;50.188000;1.2300000;5486.89;16460.7;9998.35
348;51.618000;-4.7500000;5486.78;16460.3;11922.7
349;51.398000;-3.2500000;5485.20;16455.6;12866.1
350;51.018000;0.99000000;5485.11;16455.3;10946.2
351;36.568000;-6.2200000;5484.40;16453.2;1673.09
352;51.448000;3.5500000;5482.74;16448.2;12541.6
353;51.388000;3.0100000;5479.99;16440.0;12918.0
354;51.128000;1.9800000;5477.75;16433.3;12406.1
355;49.368000;-0.66000000;5477.64;16432.9;12989.7
356;50.658000;-1.9100000;5476.48;16429.4;5043.72
357;51.768000;-8.1000000;5476.10;16428.3;12534.5
358;51.118000;2.3800000;5475.77;16427.3;12869.9
359;45.458000;-0.93000000;5474.22;16422.7;13104.3
360;51.168000;2.2000000;5473.44;16420.3;12715.7
361;51.818000;-7.9500000;5472.72;16418.2;12452.4
362;50.048000;0.98000000;5472.31;16416.9;12631.5
363;51.558000;-8.8700000;5472.04;16416.1;12601.6
364;49.528000;-0.080000000;5469.99;16410.0;12853.8
365;51.418000;-9.5200000;5469.06;16407.2;12782.2
366;51.378000;1.6800000;5467.68;16403.0;7266.75
367;51.338000;2.7500000;5466.92;16400.8;12858.0
